Algo, Seed, TP, TPMute, TPImp, PF, PFMute, PFImp, MacroMutingFreq, MicroMutingFreq, MacroMutingGain, MicroMutingGain
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_0.log, 0, 1138.09, 1088.69, -4.34, 75.13, 84.01, 11.83, 126.33, 38.09, 6255.86, 37349.06
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_1.log, 1, 1067.91, 1049.74, -1.7, 55.55, 70.44, 26.8, 129.32, 41.33, 3643.29, 19827.1
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_0.log, 0, 1074.81, 1111.09, 3.38, 107.08, 113.85, 6.32, 70.22, 29.63, 32.41, 27.61
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_1.log, 1, 1013.63, 1061.37, 4.71, 99.78, 108.03, 8.26, 61.23, 32.06, 36.37, 27.17
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_0.log, 0, 1138.09, 1088.69, -4.34, 75.13, 84.01, 11.83, 126.33, 38.09, 6255.86, 37349.06
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_1.log, 1, 1067.91, 1049.74, -1.7, 55.55, 70.44, 26.8, 129.32, 41.33, 3643.29, 19827.1
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_0.log, 0, 37.01, 38.29, 3.44, -123.88, -116.59, 5.88, 1.39, 0.96, 38.59, 45.38
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_1.log, 1, 35.45, 37.04, 4.49, -130.7, -121.27, 7.21, 1.29, 0.99, 37.83, 48.89
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_0.log, 0, 39.3, 39.39, 0.23, -124.96, -117.78, 5.75, 2.71, 1.0, 88.44, 122.36
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_1.log, 1, 37.29, 38.61, 3.56, -141.05, -131.42, 6.83, 2.48, 0.99, 54.63, 334.67
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_0.log, 0, 37.01, 38.29, 3.44, -123.88, -116.59, 5.88, 1.39, 0.96, 38.59, 45.38
